U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
1725,37833,1415,5228,5263.95,0,0.06731451333700623,35.95
1726,37833,1420,5228,5264.1,0,0.14426621142804621,36.1
1727,37833,1426,5228,5272.18,0,0.007671728636007523,44.18
1728,37833,1427,5228,5260.08,0,0.43655575481241754,32.08
1729,37834,1415,4926,4961.95,0,0.061024635487770665,35.95
1730,38088,1421,5730,5848.9,0,0.23933514458961785,118.9
1731,38089,1421,5746,5864.9,0,1,118.9
1732,38090,1421,5848,5966.9,0,0.9034714127461314,118.9
1733,38091,1421,5464,5582.9,0,0.2697843246269275,118.9
1734,38092,1421,5172,5290.9,0,0.7423790960007906,118.9
1735,38093,1418,5576,5634.88,0,0.005309428065334796,58.88
1736,38093,1421,5576,5694.9,0,0.8129546718363165,118.9
1737,38094,1418,5884,5942.88,0,0.28372999907115104,58.88
1738,38094,1421,5884,6002.9,0,0.20661452239042521,118.9
1739,38094,1421,5884,6002.9,0,0.01766613668851927,118.9
1740,38094,1422,5884,5911.71,0,0.0015090530291784088,27.71
1741,38095,1418,5551,5609.88,0,0.05732702033066284,58.88
1742,38095,1421,5551,5669.9,0,0.45532214666368065,118.9
1743,38095,1422,5551,5578.71,0,0.3374206888057424,27.71
1744,38096,1418,5461,5519.88,0,0.032300011454321445,58.88
1745,38096,1421,5461,5579.9,0,0.5796628231790941,118.9
1746,38096,1423,5461,5496.65,0,0.23080337193691544,35.65
1747,38096,1428,5461,5470.53,0,0.03275322683988465,9.53
1748,38096,1429,5461,5502.84,0,0.05538824764675647,41.84
1749,38097,1423,5556,5591.65,0,0.009102723545354791,35.65
1750,38097,1424,5556,5593.1,0,0.4161617981556449,37.1
1751,38097,1428,5556,5565.53,0,0.01082703300628299,9.53
1752,38097,1429,5556,5597.84,0,0.2712631231952723,41.84
1753,38097,1430,5556,5573.33,0,0.09163591893312521,17.33
1754,38098,1424,5137,5174.1,0,0.307700890935773,37.1
1755,38098,1425,5137,5160.87,0,0.08433280542694777,23.87
1756,38098,1430,5137,5154.33,0,0.035341300625883046,17.33
1757,38098,1431,5137,5152.66,0,0.043839770467251536,15.66
1758,38108,1432,4925,4968.51,0,0.06885334537566454,43.51
1759,38109,1432,5373,5416.51,0,0.19513501077523177,43.51
1760,38110,1433,5252,5276.53,0,0.26756976084241124,24.53
1761,38111,1419,5129,5163.47,0,0.008637259083800019,34.47
1762,38112,1426,5290,5334.18,0,0.5151408043625695,44.18
1763,38112,1434,5290,5321.13,0,0.028455228449556277,31.13
